step,1-1hit,1-2hit,1-3hit,2-1hit,2-2hit,2-3hit,
1,0.0010,0.0000,0.0000,0.0010,0.0000,0.0000,
2,0.0010,0.0010,0.0000,0.0010,0.0000,0.0000,
3,0.0010,0.0010,0.0000,0.0010,0.0000,0.0000,
4,0.0010,0.0010,0.0000,0.0010,0.0010,0.0000,
5,0.0010,0.0010,0.0000,0.0020,0.0010,0.0000,
6,0.0010,0.0010,0.0010,0.0020,0.0010,0.0010,
7,0.0020,0.0010,0.0010,0.0020,0.0010,0.0010,
8,0.0020,0.0020,0.0010,0.0039,0.0010,0.0010,
9,0.0020,0.0020,0.0010,0.0039,0.0010,0.0010,
10,0.0020,0.0020,0.0010,0.0039,0.0029,0.0010,
11,0.0020,0.0020,0.0010,0.0049,0.0029,0.0010,
12,0.0020,0.0020,0.0020,0.0049,0.0029,0.0029,
13,0.0029,0.0020,0.0020,0.0049,0.0029,0.0029,
14,0.0029,0.0029,0.0020,0.0049,0.0029,0.0029,
15,0.0029,0.0029,0.0020,0.0059,0.0029,0.0029,
16,0.0029,0.0029,0.0020,0.0059,0.0039,0.0029,
17,0.0029,0.0029,0.0020,0.0059,0.0039,0.0029,
18,0.0029,0.0029,0.0029,0.0068,0.0039,0.0039,
19,0.0049,0.0029,0.0029,0.0068,0.0039,0.0039,
20,0.0049,0.0039,0.0029,0.0068,0.0039,0.0039,
21,0.0049,0.0039,0.0029,0.0068,0.0039,0.0039,
22,0.0049,0.0039,0.0029,0.0078,0.0049,0.0039,
23,0.0049,0.0039,0.0029,0.0078,0.0049,0.0039,
24,0.0049,0.0039,0.0039,0.0078,0.0049,0.0049,
25,0.0059,0.0039,0.0039,0.0098,0.0049,0.0049,
26,0.0059,0.0049,0.0039,0.0098,0.0049,0.0049,
27,0.0059,0.0049,0.0039,0.0098,0.0049,0.0049,
28,0.0059,0.0049,0.0039,0.0098,0.0059,0.0049,
29,0.0059,0.0049,0.0039,0.0107,0.0059,0.0049,
30,0.0059,0.0049,0.0059,0.0107,0.0059,0.0059,
31,0.0068,0.0049,0.0059,0.0107,0.0059,0.0059,
32,0.0068,0.0068,0.0059,0.0117,0.0059,0.0059,
33,0.0068,0.0068,0.0059,0.0117,0.0059,0.0059,
34,0.0068,0.0068,0.0059,0.0117,0.0068,0.0059,
35,0.0068,0.0068,0.0059,0.0127,0.0068,0.0059,
36,0.0078,0.0068,0.0068,0.0127,0.0068,0.0068,
37,0.0078,0.0068,0.0068,0.0127,0.0068,0.0068,
38,0.0078,0.0078,0.0068,0.0127,0.0068,0.0068,
39,0.0078,0.0078,0.0068,0.0137,0.0068,0.0068,
40,0.0078,0.0078,0.0068,0.0137,0.0088,0.0068,
41,0.0078,0.0078,0.0068,0.0137,0.0088,0.0068,
42,0.0088,0.0078,0.0078,0.0146,0.0088,0.0078,
43,0.0088,0.0078,0.0078,0.0146,0.0088,0.0078,
44,0.0088,0.0088,0.0078,0.0146,0.0088,0.0078,
45,0.0088,0.0088,0.0078,0.0166,0.0088,0.0078,
46,0.0088,0.0088,0.0078,0.0166,0.0098,0.0078,
47,0.0088,0.0088,0.0078,0.0166,0.0098,0.0078,
48,0.0107,0.0088,0.0088,0.0166,0.0098,0.0098,
49,0.0107,0.0088,0.0088,0.0176,0.0098,0.0098,
50,0.0107,0.0098,0.0088,0.0176,0.0098,0.0098,
51,0.0107,0.0098,0.0088,0.0176,0.0098,0.0098,
52,0.0107,0.0098,0.0088,0.0186,0.0107,0.0098,
53,0.0107,0.0098,0.0088,0.0186,0.0107,0.0098,
54,0.0117,0.0098,0.0098,0.0186,0.0107,0.0107,
55,0.0117,0.0098,0.0098,0.0195,0.0107,0.0107,
56,0.0117,0.0107,0.0098,0.0195,0.0107,0.0107,
57,0.0117,0.0107,0.0098,0.0195,0.0107,0.0107,
58,0.0117,0.0107,0.0098,0.0195,0.0117,0.0107,
59,0.0117,0.0107,0.0098,0.0205,0.0117,0.0107,
60,0.0127,0.0107,0.0107,0.0205,0.0117,0.0117,
61,0.0127,0.0107,0.0107,0.0205,0.0117,0.0117,
62,0.0127,0.0127,0.0107,0.0225,0.0117,0.0117,
63,0.0127,0.0127,0.0107,0.0225,0.0117,0.0117,
64,0.0127,0.0127,0.0107,0.0225,0.0127,0.0117,
65,0.0127,0.0127,0.0107,0.0234,0.0127,0.0117,
66,0.0137,0.0127,0.0127,0.0234,0.0127,0.0127,
67,0.0137,0.0127,0.0127,0.0234,0.0127,0.0127,
68,0.0137,0.0137,0.0127,0.0244,0.0127,0.0127,
69,0.0137,0.0137,0.0127,0.0244,0.0127,0.0127,
70,0.0137,0.0137,0.0127,0.0244,0.0137,0.0127,
71,0.0137,0.0137,0.0127,0.0254,0.0137,0.0127,
72,0.0146,0.0137,0.0137,0.0254,0.0137,0.0137,
73,0.0146,0.0137,0.0137,0.0254,0.0137,0.0137,
74,0.0146,0.0146,0.0137,0.0254,0.0137,0.0137,
75,0.0146,0.0146,0.0137,0.0264,0.0156,0.0137,
76,0.0146,0.0146,0.0137,0.0264,0.0156,0.0137,
77,0.0156,0.0146,0.0137,0.0264,0.0156,0.0137,
78,0.0156,0.0146,0.0146,0.0273,0.0156,0.0156,
79,0.0156,0.0156,0.0146,0.0273,0.0156,0.0156,
80,0.0156,0.0156,0.0146,0.0273,0.0156,0.0156,
81,0.0156,0.0156,0.0146,0.0293,0.0166,0.0156,
82,0.0156,0.0156,0.0146,0.0293,0.0166,0.0156,
83,0.0176,0.0156,0.0146,0.0293,0.0166,0.0156,
84,0.0176,0.0156,0.0156,0.0303,0.0166,0.0166,
85,0.0176,0.0166,0.0156,0.0303,0.0166,0.0166,
86,0.0176,0.0166,0.0156,0.0303,0.0166,0.0166,
87,0.0176,0.0166,0.0156,0.0312,0.0176,0.0166,
88,0.0176,0.0166,0.0156,0.0312,0.0176,0.0166,
89,0.0186,0.0166,0.0166,0.0312,0.0176,0.0166,
90,0.0186,0.0166,0.0166,0.0312,0.0176,0.0176,
91,0.0186,0.0176,0.0166,0.0322,0.0176,0.0176,
92,0.0186,0.0176,0.0166,0.0322,0.0176,0.0176,
93,0.0186,0.0176,0.0166,0.0322,0.0186,0.0176,
94,0.0186,0.0176,0.0166,0.0332,0.0186,0.0176,
95,0.0195,0.0176,0.0186,0.0332,0.0186,0.0186,
96,0.0195,0.0176,0.0186,0.0332,0.0186,0.0186,
97,0.0195,0.0195,0.0186,0.0352,0.0186,0.0186,
98,0.0195,0.0195,0.0186,0.0352,0.0186,0.0186,
99,0.0195,0.0195,0.0186,0.0352,0.0195,0.0186,
100,0.0205,0.0195,0.0186,0.0361,0.0195,0.0186,
101,0.0205,0.0195,0.0195,0.0361,0.0195,0.0195,
102,0.0205,0.0195,0.0195,0.0361,0.0195,0.0195,
103,0.0205,0.0205,0.0195,0.0361,0.0195,0.0195,
104,0.0205,0.0205,0.0195,0.0371,0.0195,0.0195,
105,0.0205,0.0205,0.0195,0.0371,0.0215,0.0195,
106,0.0215,0.0205,0.0195,0.0371,0.0215,0.0195,
107,0.0215,0.0205,0.0205,0.0381,0.0215,0.0205,
108,0.0215,0.0205,0.0205,0.0381,0.0215,0.0205,
109,0.0215,0.0215,0.0205,0.0381,0.0215,0.0205,
110,0.0215,0.0215,0.0205,0.0381,0.0215,0.0205,
111,0.0215,0.0215,0.0205,0.0391,0.0225,0.0205,
112,0.0234,0.0215,0.0205,0.0391,0.0225,0.0205,
113,0.0234,0.0215,0.0215,0.0391,0.0225,0.0225,
114,0.0234,0.0215,0.0215,0.0400,0.0225,0.0225,
115,0.0234,0.0225,0.0215,0.0400,0.0225,0.0225,
116,0.0234,0.0225,0.0215,0.0400,0.0225,0.0225,
117,0.0234,0.0225,0.0215,0.0400,0.0234,0.0225,
118,0.0244,0.0225,0.0215,0.0420,0.0234,0.0225,
